id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,An,An,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Anh,Anh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Ánh,Ánh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Ân,Ân,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Bạch,Bạch,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Bích,Bích,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Bình,Bình,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Bưởi,Bưởi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Châu,Châu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Chi,Chi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Chinh,Chinh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Cúc,Cúc,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Dần,Dần,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Dậu,Dậu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Diệp,Diệp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Diệu,Diệu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Dung,Dung,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Duyên,Duyên,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Dương,Dương,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Đài,Đài,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Đan,Đan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Đào,Đào,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Điệp,Điệp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Định,Định,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Đoan,Đoan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Đông,Đông,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Gạo,Gạo,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Giang,Giang,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Giàu,Giàu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hà,Hà,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hạ,Hạ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hạnh,Hạnh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hằng,Hằng,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hân,Hân,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hậu,Hậu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hiền,Hiền,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hiển,Hiển,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hiệp,Hiệp,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hiếu,Hiếu,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hoa,Hoa,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hoà,Hoà,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hoài,Hoài,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hồng,Hồng,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hợi,Hợi,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Huệ,Huệ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Huyền,Huyền,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Huỳnh,Huỳnh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hương,Hương,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Hường,Hường,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Khánh,Khánh,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Kiều,Kiều,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Kim,Kim,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Lan,Lan,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Lâm,Lâm,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
,Lê,Lê,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,vie,Latin,Gender.female,Category:Vietnamese female given names
