id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
41362,ئابدۇلئەھەد,ئابدۇلئەھەد,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41363,ئابلىز,ئابلىز,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41364,ئادىل,ئادىل,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41365,ئاقھاجى,ئاقھاجى,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41366,ئىلھام,ئىلھام,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41367,ئەبۇبەكرى,ئەبۇبەكرى,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41368,ئەركىن,ئەركىن,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41369,ئەھەد,ئەھەد,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41370,بەكرى,بەكرى,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41371,سىدىق,سىدىق,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41372,مەھەممەت,مەھەممەت,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
41373,پەرھات,پەرھات,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,uig,Arabic,Gender.male,Category:Uyghur male given names
