id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
,آمال,آمال,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,آية,آية,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,أسماء,أسماء,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,أليس,أليس,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,أمل,أمل,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,أنوار,أنوار,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,إلهام,إلهام,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,إيثار,إيثار,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,إيمان,إيمان,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,ابتسام,ابتسام,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,انتصار,انتصار,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,بتول,بتول,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,بربارة,بربارة,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,بسمة,بسمة,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,بشرى,بشرى,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,بهيجة,بهيجة,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,تسليمة,تسليمة,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
,تقلا,تقلا,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,,ara,Arabic,Gender.female,Category:Arabic female given names
