id,title,name,url,category_type,status,status_backup,language_id,language_script,gender,parent_cmtitle
28122,Аида,Аида,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28123,Айгүл,Айгүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28124,Айдай,Айдай,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28125,Айжүрек,Айжүрек,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28126,Айнұр,Айнұр,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28127,Айша,Айша,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28128,Алмагүл,Алмагүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28129,Алтынай,Алтынай,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28130,Анаргүл,Анаргүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28131,Ардақ,Ардақ,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28132,Аяжан,Аяжан,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28133,Аяужан,Аяужан,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28134,Ақерке,Ақерке,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28135,Ақкүміс,Ақкүміс,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28136,Аққу,Аққу,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28137,Базаргүл,Базаргүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28138,Батима,Батима,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28139,Бақаргүл,Бақаргүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28140,Бибігүл,Бибігүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28141,Гүлбаршын,Гүлбаршын,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28142,Гүлбақыт,Гүлбақыт,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28143,Гүлжан,Гүлжан,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28144,Гүлжауһар,Гүлжауһар,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28145,Гүлмира,Гүлмира,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28146,Гүлнұр,Гүлнұр,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28147,Гүлпариза,Гүлпариза,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28148,Гүлфайрус,Гүлфайрус,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28149,Гүлфариза,Гүлфариза,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28150,Гүлшара,Гүлшара,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28151,Гүлшат,Гүлшат,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28152,Дариға,Дариға,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28153,Дина,Дина,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28154,Динара,Динара,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28155,Елерке,Елерке,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28156,Жібек,Жібек,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28157,Жазира,Жазира,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28158,Жамал,Жамал,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28159,Жанар,Жанар,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28160,Жаннұр,Жаннұр,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28161,Жәмила,Жәмила,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
28162,Зейнекүл,Зейнекүл,https://en.wiktionary.org/w/api.php,given_names,WikiRecordStatus.page,WikiRecordStatus.unevaluated,kaz,Cyrillic,Gender.female,Category:Kazakh female given names
